elo,games,remakes,playing_time,kills,deaths,assists,gold,pentakills,wards,minions,damage,champion_1,champion_2,champion_3
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Jinx,Miss Fortune
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,"KhaZix",Zed,Master Yi
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Braum,Lulu,Rakan
Unranked,31,1,14.4,205,214,240,316.4k,0,370,3.3k,555.3k,Katarina,Xin Zhao,Draven
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Talon,Irelia,Ahri
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Rengar,Udyr,Jhin
Diamond II,1,0,24.1,1,6,2,8.6k,0,8,194,17.0k,Shen,Aatrox,Fiora
Unranked,7,0,3.6,42,53,48,86.3k,0,66,1.4k,152.5k,Ekko,Zed,Yasuo
Diamond IV,120,4,2.2,676,853,974,1.1m,1,1.2k,10.4k,1.9m,Wukong,Kennen,Veigar
Diamond IV,110,6,2.2,918,691,634,1.2m,0,1.0k,16.3k,2.2m,Akali,Yasuo,Thresh
Unranked,3,0,1.4,10,15,12,30.0k,0,20,533,40.2k,Vladimir,Rengar,Yasuo
Unranked,1,0,33.1,2,7,10,9.6k,0,11,140,8.7k,Camille,Master Yi,Kayle
Diamond II,3,0,1.3,0,8,42,20.8k,0,68,27,15.1k,Lux,Ahri,Lulu
Diamond II,2,0,43.3,4,9,20,11.7k,0,24,64,10.9k,Brand,Aatrox,Thresh
Silver IV,9,0,4.7,42,73,78,89.2k,0,97,1.1k,188.4k,Yasuo,Lee Sin,Rengar
Diamond IV,43,1,20.6,216,252,305,467.3k,0,419,6.7k,618.2k,Udyr,Mordekaiser,"KhaZix"
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Soraka,Leona
Diamond II,20,0,9.3,140,123,135,226.8k,0,206,3.1k,406.2k,Master Yi,Illaoi,Rengar
Diamond IV,20,1,9.1,36,65,210,146.0k,0,457,325,135.1k,Morgana,Nami,Janna
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Gangplank,Draven,Yasuo
Diamond IV,1,0,23.2,14,3,4,13.1k,0,6,170,30.1k,Darius,Vayne,Tahm Kench
Diamond IV,4,0,1.8,34,19,22,45.3k,0,21,594,67.7k,Teemo,Kayn,Jhin
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Draven,Vayne,Yasuo
Diamond IV,18,0,7.7,87,96,117,191.8k,0,81,3.0k,229.0k,Rammus,Hecarim,Xin Zhao
Diamond III,113,2,2.3,798,417,689,1.4m,0,975,21.9k,2.6m,"ChoGath",Rammus,Yorick
Diamond IV,12,0,6.1,32,84,98,115.8k,0,218,1.5k,150.0k,Illaoi,Renekton,Gangplank
Diamond III,26,0,11.5,47,98,284,202.3k,0,484,480,155.5k,Thresh,Zed,Blitzcrank
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Zyra,Elise,Gangplank
Diamond III,33,2,16.5,167,220,321,348.9k,0,367,3.7k,610.9k,Thresh,Blitzcrank,LeBlanc
Platinum III,10,0,5.2,84,78,67,131.1k,0,84,1.8k,255.7k,Miss Fortune,Gnar,Pantheon
Diamond I,6,0,2.8,31,44,45,58.9k,0,68,539,91.6k,Bard,Shaco,Thresh
Unranked,72,3,1.4,458,385,610,840.3k,0,721,12.9k,1.6m,Ryze,Malzahar,Azir
Unranked,1,0,21.6,2,6,3,5.7k,0,16,23,7.4k,Jinx,Nami,Corki
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Bard,Thresh,Shen
Diamond I,0,0,0.0,0,0,0,0,0,0,0,0,Gangplank,Yasuo,Riven
Diamond III,2,0,57.6,5,14,20,17.8k,0,20,148,22.2k,Gangplank,Teemo,Veigar
Diamond I,0,0,0.0,0,0,0,0,0,0,0,0,Zac,Thresh,Nami
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Katarina,Vayne,Yasuo
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Draven,"KhaZix",Zed
Unranked,3,0,1.1,30,18,14,36.7k,0,23,514,71.3k,Vayne,Rengar,Riven
Diamond IV,18,0,9.2,131,125,122,204.2k,0,172,2.9k,418.4k,Sona,Annie,Jinx
Diamond I,31,1,12.8,156,91,217,303.0k,0,234,5.2k,508.7k,Gangplank,Rengar,Vayne
Diamond I,5,0,2.4,20,34,32,44.7k,0,131,180,73.2k,Ekko,Jhin,Janna
Unranked,23,1,11.9,53,168,359,203.9k,0,467,297,198.6k,Yasuo,Thresh,Lee Sin
Grandmaster,4,0,1.7,12,27,47,32.1k,0,64,102,22.2k,Tryndamere,Teemo,Fizz
Bronze II,79,3,1.7,399,566,583,805.5k,0,424,9.9k,1.3m,Hecarim,Thresh,Xin Zhao
Bronze I,70,3,1.5,226,357,807,627.5k,0,1.2k,2.6k,796.0k,Soraka,Neeko,Lux
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Jax,Olaf,Gnar
Iron I,140,2,3.0,852,867,927,1.4m,0,1.2k,14.7k,2.2m,Fizz,Leona,Miss Fortune
Unranked,11,1,5.1,33,75,108,89.7k,0,88,723,148.4k,Elise,Ahri,Xayah
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Lee Sin,Ekko
Bronze III,22,1,12.1,128,183,253,227.5k,0,278,533,270.8k,Braum,Jhin,"VelKoz"
Unranked,32,2,16.5,219,170,191,360.8k,0,214,5.3k,667.4k,Graves,Diana,Teemo
Bronze IV,15,1,7.6,49,93,199,143.8k,0,244,1.0k,155.5k,Braum,Viktor,Varus
Bronze III,90,7,1.9,426,526,515,982.8k,0,431,12.7k,1.1m,Udyr,Leona,Kennen
Unranked,87,3,1.8,506,611,732,863.1k,0,1.1k,8.3k,1.5m,Yorick,Ekko,Gnar
Bronze IV,62,1,1.3,303,515,363,596.3k,0,533,6.4k,890.1k,Rammus,Pyke,Xin Zhao
Bronze IV,20,1,10.3,31,144,261,156.2k,0,403,417,145.9k,Thresh,Garen,Alistar
Bronze IV,3,0,1.4,5,17,12,19.9k,0,24,165,22.7k,Tristana,Jinx,Lux
Bronze II,4,0,2.1,11,27,26,38.4k,0,30,506,56.2k,Lee Sin,Yasuo,Vayne
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Fiddlesticks,Jhin,Pyke
Bronze I,25,2,12.7,201,144,177,321.2k,0,256,4.9k,541.0k,Tristana,Lucian,Caitlyn
Bronze II,3,0,1.4,3,17,17,17.5k,0,22,61,19.1k,Rakan,Lux,Nami
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Sion,Garen,Pantheon
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Katarina,Lux
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Brand,Dr. Mundo,Kennen
Unranked,2,0,51.3,13,7,8,21.1k,0,16,307,31.5k,Teemo,Draven,Ekko
Bronze IV,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Aurelion Sol,Yasuo
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Lee Sin,Thresh,Ekko
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Warwick,Rammus,Ahri
Bronze II,9,0,4.2,45,52,47,98.2k,0,66,1.5k,139.9k,Lee Sin,Yasuo,Vayne
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Ezreal,Kayn
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Jhin,Draven,Tristana
Unranked,6,0,3.5,48,42,45,81.8k,0,64,1.1k,136.6k,Talon,Master Yi,Irelia
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tristana,Teemo,Warwick
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Morgana,Nasus
Bronze II,5,0,2.6,26,27,65,49.0k,0,92,150,75.5k,Ahri,Sona,Poppy
Silver III,1,0,27.8,1,3,0,7.1k,0,9,141,9.8k,Zyra,Teemo,Cassiopeia
Unranked,2,0,59.7,12,5,14,19.6k,0,17,255,35.4k,Lux,Tryndamere,Kennen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Alistar,Janna
Bronze I,4,0,2.1,15,43,41,39.3k,0,35,414,71.9k,Ekko,Draven,Yasuo
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Tahm Kench,Braum,Soraka
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Fiora,Riven,Rengar
Unranked,4,0,2.3,41,36,36,50.0k,0,47,570,112.9k,Ryze,Orianna,Lux
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Malphite,Sivir,Olaf
Bronze II,4,0,2.1,28,11,17,45.6k,0,27,683,65.7k,Tristana,Lucian,Caitlyn
Bronze II,36,2,19.3,208,205,335,400.6k,0,392,5.5k,784.7k,Illaoi,Braum,Ekko
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Lux,Ezreal,Katarina
Bronze I,2,0,52.8,12,16,15,19.8k,0,12,249,25.4k,Yasuo,Lucian,Thresh
Bronze II,2,0,1.1,16,8,12,23.8k,0,12,293,34.5k,Heimerdinger,Twisted Fate,Nautilus
Unranked,17,0,7.5,158,80,74,194.8k,0,102,2.6k,411.6k,Blitzcrank,Darius,Orianna
Bronze III,2,0,57.8,3,10,22,17.1k,0,15,181,19.4k,Warwick,Master Yi,Janna
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Morgana,Annie,Blitzcrank
Unranked,107,2,2.3,548,648,875,1.1m,0,591,12.2k,1.5m,Caitlyn,Jinx,Ashe
Bronze I,11,0,5.5,52,59,59,125.5k,0,46,1.9k,131.0k,Miss Fortune,Caitlyn,Teemo
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Leona,Lulu
Unranked,7,0,3.3,69,25,39,75.4k,0,53,867,136.8k,LeBlanc,Rengar,Blitzcrank
Bronze I,1,0,22.2,4,3,1,7.0k,0,8,128,9.5k,Draven,Twisted Fate,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Quinn,Sona,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Irelia,Fiora,Nasus
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Ezreal,Yasuo
Bronze II,45,1,1.0,291,274,502,489.3k,0,669,4.7k,817.1k,Fizz,Brand,Blitzcrank
Bronze I,1,0,15.9,2,1,2,4.8k,0,3,86,6.4k,Ekko,Lucian,Yasuo
Platinum IV,308,3,6.3,2.4k,1.8k,2.1k,3.6m,1,2.9k,47.9k,7.5m,Xerath,Fiora,Brand
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Shen,Elise,Lucian
Bronze IV,66,1,1.4,355,406,367,663.7k,0,439,8.3k,1.1m,Teemo,Akali,Miss Fortune
Unranked,1,0,29.5,1,8,6,6.8k,0,12,25,9.0k,Teemo,Singed,Heimerdinger
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Shaco,Zed,Lee Sin
Bronze I,2,0,56.2,9,11,8,19.0k,0,10,288,29.0k,Zed,Draven,Pantheon
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Nami,Lulu
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Leona,Caitlyn,Maokai
Bronze III,11,0,5.2,33,41,143,96.0k,0,109,264,130.0k,Sona,Evelynn,LeBlanc
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Malzahar,Azir,Zilean
Unranked,5,0,2.4,18,39,23,44.2k,0,30,604,66.9k,Lux,LeBlanc,Ahri
Silver III,374,15,8.0,2.0k,2.0k,2.7k,4.0m,1,4.5k,51.5k,6.2m,Blitzcrank,Thresh,Yasuo
Silver II,1,0,26.4,4,1,5,8.4k,0,21,9,9.2k,Ashe,Lux,Miss Fortune
Silver II,34,0,16.2,180,189,312,347.1k,0,591,3.7k,531.8k,"VelKoz",Xayah,Ahri
Unranked,15,0,7.5,50,48,76,147.9k,0,155,2.4k,213.0k,Gnar,Morgana,Teemo
Silver III,9,0,4.4,37,51,56,92.5k,0,45,1.5k,138.6k,Lux,Jhin,Master Yi
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Warwick,Talon
Silver III,93,1,2.0,666,669,703,1.1m,0,549,13.9k,1.9m,Kalista,Yasuo,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Nautilus,Illaoi,Jarvan IV
Silver II,152,6,3.2,539,848,1.5k,1.5m,0,2.2k,15.7k,1.7m,Rammus,Leona,Thresh
Unranked,12,0,5.9,64,77,159,132.9k,0,120,1.5k,165.0k,Morgana,Lucian,Evelynn
Silver II,47,0,23.4,324,263,379,555.7k,0,516,7.1k,953.2k,Bard,Trundle,Tristana
Silver III,4,0,2.1,14,25,29,41.6k,0,43,544,66.1k,Vi,Shyvana,Diana
Silver IV,2,0,55.1,4,6,8,13.7k,0,24,33,24.7k,Sona,Soraka,Janna
Bronze IV,17,0,8.4,54,123,88,151.6k,0,139,2.3k,289.9k,Illaoi,Swain,Ashe
Silver II,276,3,5.7,1.8k,1.6k,2.2k,3.1m,1,2.6k,41.8k,5.0m,Miss Fortune,Jhin,"KogMaw"
Silver IV,44,2,21.6,157,188,409,413.1k,0,534,5.4k,520.3k,Leona,Jinx,Jhin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Warwick,Wukong,Jax
Unranked,33,0,17.2,152,193,135,361.5k,0,250,5.9k,422.7k,Sona,Nasus,Zed
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Rakan,Yasuo,Kindred
Unranked,2,0,1.2,23,13,12,34.3k,0,17,536,76.7k,Blitzcrank,Ziggs,Bard
Silver IV,1,0,32.1,0,7,11,9.8k,0,11,157,8.5k,Shyvana,Soraka,Kayle
Silver III,303,7,6.3,844,934,2.9k,2.7m,0,5.3k,24.7k,2.5m,Thresh,Alistar,Tristana
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver IV,50,2,1.1,303,247,410,554.8k,0,487,6.7k,1.1m,Ezreal,Pantheon,Evelynn
Silver II,14,0,6.9,58,30,179,137.6k,0,247,790,217.9k,Lux,"VelKoz",Zyra
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ekko,Thresh,Heimerdinger
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Diana,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Miss Fortune,Morgana
Silver IV,23,1,11.2,136,210,155,235.3k,0,141,3.0k,429.5k,Master Yi,Tryndamere,Teemo
Unranked,2,0,58.2,5,15,17,19.2k,0,17,272,27.7k,Lux,Akali,Miss Fortune
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tristana,Tahm Kench,Azir
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Talon,Kayn,Rengar
Silver II,7,0,3.5,40,50,92,71.9k,0,83,588,127.8k,Katarina,Lux,Twisted Fate
Silver I,13,0,6.5,49,74,169,127.4k,0,223,746,178.9k,Yasuo,Jinx,Ezreal
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Quinn,Warwick,Sona
Silver II,3,0,1.7,6,22,51,28.1k,0,60,35,26.9k,Nami,Janna,Leona
Unranked,3,0,1.4,5,7,28,25.6k,0,43,207,32.0k,Thresh,Janna,Braum
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Annie,Katarina,Zed
Unranked,4,1,1.8,24,15,44,39.4k,0,49,219,71.4k,Aurelion Sol,Zyra,Fizz
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Master Yi,Miss Fortune,Morgana
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Darius,Brand
Silver IV,40,5,21.5,237,240,321,416.9k,0,392,5.0k,749.8k,Morgana,Zoe,LeBlanc
Silver IV,15,0,7.8,34,69,206,133.0k,0,145,370,186.0k,Janna,Zyra,Nami
Silver III,12,1,6.4,101,90,134,141.0k,0,91,1.4k,286.6k,Yasuo,Evelynn,Tahm Kench
Silver III,160,6,3.3,1.3k,1.3k,1.1k,1.9m,1,998,23.6k,3.6m,Jax,Fiddlesticks,Olaf
Silver II,14,0,7.3,87,111,112,160.7k,0,143,2.1k,320.7k,Sion,Thresh,Blitzcrank
Unranked,1,0,25.5,4,4,12,9.9k,0,9,127,10.6k,Maokai,Kayn,Galio
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Shyvana,Morgana,Tryndamere
Silver III,3,0,1.7,4,17,44,28.3k,0,55,94,23.6k,Blitzcrank,Annie,Lulu
Silver II,2,0,1.2,13,14,29,25.2k,0,42,275,44.2k,Dr. Mundo,Urgot,Braum
Silver I,19,0,10.0,80,115,126,205.9k,0,178,3.1k,315.6k,Jinx,Orianna,"KogMaw"
Unranked,9,0,4.8,25,28,177,91.9k,0,188,182,118.3k,Leona,Morgana,Alistar
Silver I,1,0,40.5,3,10,11,15.2k,0,11,244,18.7k,Ashe,Annie,Veigar
Bronze I,3,1,1.2,11,10,29,23.3k,0,28,228,26.7k,Kassadin,Soraka,Ashe
Silver IV,11,0,5.6,69,95,71,126.7k,0,99,1.5k,223.0k,Nasus,Jhin,Kayn
Silver II,91,0,1.9,231,698,1.2k,819.1k,0,1.8k,3.5k,988.0k,Leona,Lulu,Nami
Silver IV,8,0,4.0,30,53,58,89.6k,0,108,1.3k,105.9k,Yasuo,Soraka,Tryndamere
Silver II,43,2,21.9,142,262,495,410.3k,0,479,4.3k,574.9k,Garen,Yorick,Shen
Silver III,8,0,4.2,60,49,48,98.2k,0,109,1.2k,166.3k,Lulu,Garen,Teemo
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Malphite,Tristana
Silver IV,3,0,1.6,23,16,23,36.7k,0,31,523,83.9k,Gangplank,Akali,Ekko
Unranked,2,0,1.1,9,12,19,18.8k,0,46,36,16.4k,Bard,Ekko,Poppy
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Teemo,Master Yi,Morgana
Silver II,101,2,2.1,500,639,975,1.1m,0,1.6k,10.7k,1.9m,Malzahar,Thresh,Zyra
Silver IV,8,0,3.7,38,35,44,74.4k,0,66,1.1k,115.7k,Poppy,Katarina,Jinx
Silver III,130,3,2.7,877,735,1.0k,1.6m,1,1.0k,22.9k,2.9m,Ezreal,Draven,Sivir
Silver III,12,0,5.8,34,64,122,118.0k,0,152,1.0k,142.3k,Sona,Teemo,Volibear
Silver II,124,2,2.6,658,669,1.1k,1.3m,0,1.3k,16.6k,1.9m,Jhin,Warwick,Master Yi
Unranked,32,1,15.3,156,152,251,317.9k,0,345,3.7k,462.0k,Morgana,Jinx,Karma
Silver I,35,0,16.8,196,194,193,379.1k,1,318,5.4k,561.0k,Darius,Pantheon,Teemo
Silver IV,22,1,11.6,149,165,181,253.2k,0,193,3.0k,450.0k,Yasuo,Riven,Zed
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Morgana,Karma,Talon
Silver III,10,0,5.4,66,82,52,119.5k,0,109,1.5k,195.0k,Aatrox,Rammus,Udyr
Bronze I,58,2,1.2,353,331,321,617.2k,0,465,8.3k,1.1m,Teemo,Yasuo,Jhin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Darius,Lee Sin
Silver IV,32,1,16.3,278,197,240,410.7k,0,337,5.6k,726.2k,Vayne,Veigar,Tristana
Silver III,31,1,16.1,49,144,405,282.2k,0,729,1.2k,253.7k,Taric,Morgana,Lulu
Unranked,27,0,13.6,103,207,229,273.8k,0,319,3.6k,368.6k,Kindred,Lee Sin,Jhin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver II,127,6,2.5,944,894,684,1.5m,0,1.1k,22.3k,2.9m,Ryze,Veigar,Zilean
Silver I,18,0,8.6,79,113,120,194.6k,0,164,2.9k,271.0k,Teemo,Morgana,Leona
Silver IV,263,9,5.5,1.5k,1.7k,2.0k,2.9m,0,2.4k,37.7k,4.1m,Nunu & Willump,Warwick,Nocturne
Silver III,141,5,3.0,782,796,1.1k,1.5m,0,1.8k,17.7k,1.9m,Nocturne,Caitlyn,Malphite
Silver III,10,0,5.8,73,59,92,134.4k,0,83,1.9k,213.2k,Diana,Caitlyn,Jinx
Unranked,20,0,9.5,70,142,186,180.7k,0,181,1.9k,251.5k,Janna,Evelynn,Sion
Unranked,3,0,1.3,13,19,20,27.1k,0,37,347,37.0k,Miss Fortune,Jhin,Tristana
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Lucian,Vayne,Jinx
Silver IV,126,6,2.7,514,830,1.2k,1.3m,0,1.9k,16.9k,2.4m,Sivir,Morgana,Taric
Bronze I,26,1,12.5,97,180,355,238.5k,0,294,1.7k,334.5k,Thresh,Leona,Ashe
Silver IV,48,0,23.2,356,246,284,569.9k,1,434,8.3k,928.2k,Yasuo,Lee Sin,Garen
Silver IV,38,0,20.4,223,242,333,441.9k,0,436,5.8k,728.5k,Evelynn,Xin Zhao,Rammus
Silver I,5,0,2.4,19,42,47,43.1k,0,99,247,41.0k,Shaco,Ezreal,Kennen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,"KogMaw",Corki,Tristana
Silver IV,24,4,11.7,77,157,211,205.0k,0,322,1.5k,244.3k,Thresh,Braum,Jayce
Silver II,47,1,23.4,458,199,381,616.6k,0,389,8.6k,1.1m,Thresh,Poppy,Alistar
Silver II,15,0,7.3,167,73,121,200.4k,1,121,2.5k,357.8k,Nasus,Gnar,Thresh
Silver II,18,0,9.3,118,95,140,237.0k,0,183,3.9k,386.5k,Malzahar,Soraka,Warwick
Silver II,401,14,8.6,2.6k,2.6k,3.2k,4.6m,1,3.7k,60.2k,7.3m,Poppy,Ashe,Riven
Silver IV,29,1,15.0,269,170,208,379.4k,0,312,4.9k,709.1k,"ChoGath",Garen,Janna
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Darius,Vayne
Silver III,12,1,6.0,65,77,87,119.3k,0,113,1.5k,233.3k,Lux,Aurelion Sol,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Morgana,Janna
Silver IV,1,0,23.0,1,8,2,5.3k,0,12,8,4.3k,Soraka,Thresh,Ezreal
Unranked,3,0,1.3,15,10,19,27.4k,0,24,442,48.3k,Zed,Shaco,Yasuo
Unranked,1,0,20.7,13,2,2,11.1k,0,3,163,18.5k,Thresh,Zoe,Teemo
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Blitzcrank,Alistar,Lux
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Draven,Yasuo,Lucian
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Veigar,Teemo,Jinx
Silver I,15,0,7.7,23,62,270,133.9k,0,351,669,134.2k,Thresh,Lee Sin,Blitzcrank
Silver II,3,0,1.4,11,13,23,28.9k,0,32,418,48.9k,Yasuo,Gnar,Tahm Kench
Silver I,202,3,4.2,1.1k,1.2k,1.7k,2.1m,0,2.7k,22.3k,2.7m,Thresh,Vi,Lee Sin
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Nami,Nautilus,Ahri
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Jhin,Master Yi,Draven
Silver II,39,0,18.8,251,296,224,435.0k,0,347,6.1k,770.7k,Darius,Shen,Vi
Unranked,15,0,8.3,106,112,121,205.5k,0,159,3.0k,335.2k,Miss Fortune,Jinx,Vayne
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Shen,Thresh,"ChoGath"
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Jhin,Ivern,Caitlyn
Silver IV,12,0,6.0,71,62,101,122.6k,0,109,1.3k,210.8k,Kindred,Lux,Jinx
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Lee Sin,Jarvan IV,Jax
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Kindred,Morgana,Tahm Kench
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Shen,Talon,Sivir
Silver III,7,0,3.5,46,45,33,74.6k,0,58,1.1k,124.2k,Yasuo,Zed,Darius
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Katarina,Miss Fortune,Janna
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Lulu,Akali,Thresh
Silver I,7,0,3.2,47,30,24,74.7k,0,64,1.1k,108.3k,Yasuo,Riven,Darius
Silver IV,12,0,6.3,57,61,158,120.8k,0,191,885,166.6k,Thresh,Draven,Yasuo
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Gangplank,Master Yi,Tryndamere
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Janna,Thresh
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Tristana,Thresh
Silver III,3,0,1.5,10,14,17,30.2k,0,40,455,42.5k,Riven,Yasuo,Ezreal
Unranked,5,0,2.9,21,38,42,56.5k,0,65,962,103.8k,Ahri,Orianna,Brand
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver III,9,0,4.6,77,39,58,98.3k,0,72,1.3k,180.9k,Thresh,Master Yi,Yasuo
Silver III,8,1,4.0,54,35,70,94.0k,0,78,1.3k,181.2k,Nidalee,Jax,Irelia
Silver IV,1,0,25.3,0,8,4,6.0k,0,8,96,8.2k,Ziggs,Tristana,Darius
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver IV,4,0,1.8,19,23,42,36.1k,0,46,455,60.9k,Veigar,"ChoGath",Anivia
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Jax,Trundle,Thresh
Silver III,17,0,8.7,46,120,185,145.0k,0,325,466,154.2k,Thresh,Alistar,Zac
Silver IV,40,0,20.4,289,331,302,461.6k,1,315,6.1k,800.9k,Rengar,Xayah,"KhaZix"
Silver I,6,0,3.4,11,36,84,54.5k,0,108,301,50.0k,Ahri,Jinx,Morgana
Silver III,39,1,19.4,147,226,329,387.6k,0,583,5.0k,513.6k,Thresh,Alistar,Zac
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Nasus,Dr. Mundo
Silver III,1,0,22.5,1,6,2,6.3k,0,4,104,7.8k,Vayne,Tristana,Diana
Silver III,1,0,23.8,4,6,1,8.7k,0,6,154,9.2k,Vayne,Lucian,Ashe
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Udyr,Nidalee
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Bard,Gnar,Cassiopeia
Unranked,25,1,12.1,176,170,181,278.7k,0,278,3.6k,444.8k,Lee Sin,Zed,Cassiopeia
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Rengar,Yasuo
Silver III,49,3,1.0,292,268,342,536.8k,0,441,7.2k,939.9k,Twitch,Singed,Gangplank
Silver I,13,0,6.8,70,93,108,141.7k,0,128,1.9k,221.1k,Shen,Ezreal,Vayne
Silver I,4,0,2.0,14,26,32,36.9k,0,97,127,97.5k,Jhin,Vayne,Caitlyn
Silver IV,31,1,15.9,163,158,412,331.6k,0,197,3.6k,392.0k,Sona,Leona,Gnar
Unranked,5,0,2.7,21,40,45,50.0k,0,41,563,60.0k,Fiora,Nautilus,Zed
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Varus,Draven,Malzahar
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Anivia,Miss Fortune,Orianna
Bronze I,6,0,3.1,28,26,44,67.9k,0,59,1.1k,76.9k,Olaf,Vayne,Jinx
Silver II,54,3,1.1,329,217,427,611.9k,0,361,8.0k,1.0m,Anivia,Gnar,Gangplank
